深圳市龙岗区	北京中医药大学深圳医院（龙岗）（原龙岗区中医院）	深圳市龙岗区体育新城大运路1号	0755-89911830	114.21599,22.708592
深圳市龙岗区	深圳市龙岗区妇幼保健院	深圳市龙岗区龙城街道中心城爱龙路6号	0755-28933003	114.234829,22.72807
深圳市龙岗区	深圳市龙岗区第五人民医院（原平湖人民医院）	深圳市龙岗区平湖街道双拥街77号	0755-28450631	114.133791,22.698702
深圳市龙岗区	深圳华侨医院	深圳市龙岗区平湖街道湖新街1号	 0755-84698191 	114.143857,22.687467
深圳市龙岗区	深圳市龙岗区第三人民医院（原横岗人民医院）	深圳市龙岗区横岗街道松柏路278号	 0755-28865650	114.21288,22.648328
深圳市龙岗区	深圳市龙岗区第二人民医院（原布吉人民医院）	深圳市龙岗区布吉街道吉华路175号	0755-28875999	114.115802,22.605505
深圳市龙岗区	深圳市龙岗区第六人民医院（原坪地人民医院）	深圳市龙岗区龙岗大道5333号	0755-84092120	114.315939,22.780586
深圳市龙华区	深圳市人民医院龙华分院	深圳市龙华区龙观东路101号	0755-27745118	114.023406,22.665324
深圳市龙华区	深圳市龙华区人民医院	深圳市华区龙华街道景龙建设路38号、景龙建设路70号（艾柏士楼商办楼首层106号商铺、一楼分隔北侧房屋、二楼房屋及三楼房屋）和景龙建设路74号（允强商厦整栋）	0755-29572571	114.032852,22.655842
深圳市龙华区	深圳市龙华区中心医院	深圳市龙华区福城街道观澜大道西187号，3号楼一楼	0755-28015466	114.0463,22.713317
深圳市光明区	中山大学附属第七医院（深圳）	深圳市光明区新湖街道圳园路628号	0755-81206999	113.95206,22.786578
深圳市光明区	中国科学院大学深圳医院（光明）	深圳市光明区马田街道松白路将石段4253号、4221号和光明街道华夏路39号	0755-81767195	113.902246,22.763779
深圳市坪山区	深圳市坪山区人民医院	深圳市坪山区坪山街道办事处人民街19号	0755-84608157	114.351237,22.687244
深圳市坪山区	深圳市坪山区妇幼保健院	深圳市坪山区坑梓街道龙兴南路6号	0755-84134902	114.369053,22.746542
深圳市坪山区	深圳平乐骨伤科医院（深圳市坪山区中医院）	深圳市坪山区坑梓坪山大道252号   	0755-28328011	114.362356,22.738396
深圳市大鹏新区	深圳市大鹏新区南澳人民医院	深圳市大鹏新区南澳办事处人民路6号	0755-84400309	114.494432,22.533964
深圳市大鹏新区	深圳市大鹏新区妇幼保健院	深圳市大鹏新区大鹏办事处鹏新东路149号	0755-84305909	114.485374,22.594725
深圳市大鹏新区	深圳市大鹏新区葵涌人民医院	深圳市大鹏新区葵涌办事处葵新北路26号	0755-84204067	114.422362,22.632282
